MovieName,ReleaseYear,Duration,IMDBRating,Metascore,Votes,Genre,Gross,GrossRevenue ,Budget
Memento,2000,113,8.4,83,1317883,Mystery,$25.54M,25540000,9000000
Notting Hill,1999,124,7.2,68,340747,Comedy,$116.09M,116090000,42000000
The Thin Red Line,1998,170,7.6,78,198971,Drama,$36.40M,36400000,52000000
Scary Movie 2,2001,83,5.3,29,174453,Comedy,$71.31M,71310000,45000000
Meet the Parents,2000,108,7,73,354196,Comedy,$166.24M,166240000,55000000
The Whole Nine Yards,2000,98,6.7,47,128825,Comedy,$57.26M,57260000,41300000
"Girl, Interrupted",1999,127,7.3,51,210246,Biography,$28.87M,28870000,40000000
Deep Blue Sea,1999,105,5.9,54,142232,Action,$73.65M,73650000,60000000
Enemy of the State,1998,132,7.3,67,258222,Action,$111.55M,111550000,90000000
Star Trek: Insurrection,1998,103,6.4,64,79272,Action,$70.12M,70120000,70000000
10 Things I Hate About You,1999,97,7.3,70,382511,Comedy,$38.18M,38180000,16000000
Return to Me,2000,115,6.9,54,22675,Comedy,$32.66M,32660000,24000000
The Truman Show,1998,103,8.2,90,1189078,Comedy,$125.62M,125620000,60000000
Blow,2001,124,7.5,52,274384,Biography,$52.99M,52990000,53000000
Life,1999,108,6.8,63,54584,Comedy,$63.84M,63840000,80000000
X-Men,2000,104,7.3,64,644454,Action,$157.30M,157300000,75000000
Pitch Black,2000,109,7,49,252426,Action,$39.24M,39240000,23000000
Deep Impact,1998,120,6.2,40,189791,Action,$140.46M,140460000,75000000
Pay It Forward,2000,123,7.2,40,123692,Drama,$33.52M,33520000,40000000
Rushmore,1998,93,7.6,87,197479,Comedy,$17.11M,17110000,9000000
Armageddon,1998,151,6.7,42,449509,Action,$201.57M,201570000,140000000
Mission: Impossible II,2000,123,6.1,59,376497,Action,$215.41M,215410000,125000000
Fear and Loathing in Las Vegas,1998,118,7.5,41,300668,Adventure,$10.68M,10680000,18500000
There's Something About Mary,1998,119,7.1,69,327981,Comedy,$176.48M,176480000,23000000
Charlie's Angels,2000,98,5.6,52,195762,Action,$125.31M,125310000,92000000
Sleepy Hollow,1999,105,7.3,65,382826,Fantasy,$101.07M,101070000,100000000
Shakespeare in Love,1998,123,7.1,87,233856,Comedy,$100.32M,100320000,25000000
Enemy at the Gates,2001,131,7.5,53,276883,Action,$51.40M,51400000,68000000
The Mummy,1999,124,7.1,48,459112,Action,$155.25M,155250000,80000000
The Mummy Returns,2001,130,6.4,48,344804,Action,$202.02M,202020000,98000000
Eyes Wide Shut,1999,159,7.5,69,373394,Drama,$55.69M,55690000,65000000
Jurassic Park III,2001,92,5.9,42,339924,Action,$181.17M,181170000,93000000
The Ninth Gate,1999,133,6.7,44,196859,Mystery,$18.66M,18660000,38000000
American Psycho,2000,102,7.6,64,710311,Crime,$15.07M,15070000,7000000
An Ideal Husband,1999,97,6.8,67,16697,Comedy,$18.54M,18540000,14000000
Entrapment,1999,113,6.3,54,123665,Action,$87.70M,87700000,66000000
The Cider House Rules,1999,126,7.4,75,104565,Drama,$57.55M,57550000,24000000
Chocolat,2000,121,7.3,64,201445,Drama,$71.51M,71510000,25000000
Mulan,1998,87,7.7,72,314902,Animation,$120.62M,120620000,90000000
Final Fantasy: The Spirits Within,2001,106,6.4,49,83969,Animation,$32.13M,32130000,137000000
Meet Joe Black,1998,178,7.2,43,263692,Drama,$44.62M,44620000,90000000
Go,1999,102,7.2,74,74935,Comedy,$16.84M,16840000,6500000
As Good as It Gets,1997,139,7.7,67,317400,Comedy,$148.48M,148480000,50000000
You've Got Mail,1998,119,6.7,58,228704,Comedy,$115.82M,115820000,65000000
The Negotiator,1998,140,7.3,62,154421,Action,$44.48M,44480000,50000000
Antz,1998,83,6.5,73,163645,Animation,$90.76M,90760000,60000000
Wild Wild West,1999,106,4.9,40,166985,Action,$113.81M,113810000,170000000
Three Kings,1999,114,7.1,82,180077,Action,$60.65M,60650000,75000000
The Waterboy,1998,90,6.1,41,177603,Comedy,$161.49M,161490000,23000000
Dark City,1998,100,7.6,66,211543,Fantasy,$14.38M,14380000,27000000
The Bone Collector,1999,118,6.7,45,184202,Crime,$66.52M,66520000,73000000
The Insider,1999,157,7.8,85,179706,Biography,$28.97M,28970000,90000000
Galaxy Quest,1999,102,7.4,70,177324,Adventure,$71.58M,71580000,45000000
Toy Story 2,1999,92,7.9,88,617544,Animation,$245.85M,245850000,90000000
High Fidelity,2000,113,7.4,79,189229,Comedy,$27.29M,27290000,30000000
Any Given Sunday,1999,162,6.9,52,125675,Drama,$75.53M,75530000,55000000
Jackie Brown,1997,154,7.5,62,373284,Crime,$39.67M,39670000,12000000
"Me, Myself & Irene",2000,116,6.6,49,250619,Comedy,$90.57M,90570000,51000000
Blade,1998,120,7.1,47,297557,Action,$70.09M,70090000,45000000
Gone in Sixty Seconds,2000,118,6.5,35,293753,Action,$101.65M,101650000,90000000
Legally Blonde,2001,96,6.5,59,246369,Comedy,$96.52M,96520000,18000000
American Pie,1999,95,7,58,432262,Comedy,$102.56M,102560000,11000000
American Pie 2,2001,108,6.4,43,269464,Comedy,$145.10M,145100000,30000000
Out of Sight,1998,123,7,84,98804,Comedy,$37.56M,37560000,48000000
Dancer in the Dark,2000,140,7.9,63,116459,Crime,$4.18M,4180000,12800000
Unbreakable,2000,106,7.3,62,439585,Drama,$95.01M,95010000,75000000
Mission to Mars,2000,114,5.7,34,76367,Adventure,$60.88M,60880000,90000000
The Road to El Dorado,2000,89,6.9,51,106974,Animation,$50.86M,50860000,95000000
Cube,1997,90,7.1,61,246958,Horror,$0.50M,500000,250000
Almost Famous,2000,122,7.9,90,292409,Adventure,$32.53M,32530000,60000000
Moulin Rouge!,2001,127,7.6,66,298546,Drama,$57.39M,57390000,52500000
Office Space,1999,89,7.6,68,286587,Comedy,$10.82M,10820000,10000000
The Prince of Egypt,1998,99,7.2,64,145462,Animation,$101.22M,101220000,70000000
Chicken Run,2000,84,7.1,88,211681,Animation,$106.83M,106830000,45000000
Ronin,1998,122,7.2,67,194402,Action,$41.62M,41620000,55000000
Bring It On,2000,98,6.1,52,105108,Comedy,$68.38M,68380000,28000000
Jay and Silent Bob Strike Back,2001,104,6.8,51,160768,Comedy,$30.09M,30090000,22000000
Dogma,1999,130,7.3,62,228071,Adventure,$30.65M,30650000,10000000
The World Is Not Enough,1999,128,6.4,57,209559,Action,$126.94M,126940000,135000000
What Women Want,2000,127,6.4,47,221620,Comedy,$182.81M,182810000,70000000
Never Been Kissed,1999,107,6,60,97292,Comedy,$55.47M,55470000,25000000
Fight Club,1999,139,8.8,67,2311174,Drama,$37.03M,37030000,63000000
The X Files,1998,121,7,60,109956,Drama,$83.90M,83900000,66000000
Shaft,2000,99,6,50,80634,Action,$70.33M,70330000,4000000
Snatch,2000,104,8.2,55,906711,Comedy,$30.33M,30330000,10000000
"Lock, Stock and Two Smoking Barrels",1998,107,8.1,65,614340,Action,$3.90M,3900000,1350000
The Blair Witch Project,1999,81,6.5,80,284055,Horror,$140.54M,140540000,60000
The Family Man,2000,125,6.8,42,119086,Comedy,$75.79M,75790000,60000000
Evolution,2001,101,6.1,40,135894,Comedy,$38.35M,38350000,80000000
Bedazzled,2000,93,6.1,49,111929,Comedy,$37.88M,37880000,48000000
Analyze This,1999,103,6.7,60,161342,Comedy,$106.89M,106890000,80000000
Remember the Titans,2000,113,7.8,48,231182,Biography,$115.65M,115650000,30000000
Lara Croft: Tomb Raider,2001,100,5.8,33,218506,Action,$131.14M,131140000,115000000
The Emperor's New Groove,2000,78,7.4,70,224302,Animation,$89.30M,89300000,100000000
Planet of the Apes,2001,120,5.7,50,228277,Action,$180.01M,180010000,5800000
Cast Away,2000,143,7.8,74,636227,Adventure,$233.63M,233630000,90000000
Erin Brockovich,2000,131,7.4,73,220045,Biography,$125.60M,125600000,52000000
Save the Last Dance,2001,112,6.2,53,65822,Drama,$91.06M,91060000,13000000
The Virgin Suicides,1999,97,7.2,77,168499,Drama,$4.86M,4860000,6000000
Double Jeopardy,1999,105,6.5,41,95523,Crime,$116.74M,116740000,70000000
Road Trip,2000,93,6.5,55,177739,Comedy,$68.54M,68540000,16000000
End of Days,1999,122,5.8,34,116462,Action,$66.89M,66890000,100000000
Lost in Space,1998,130,5.2,43,74752,Action,$69.12M,69120000,80000000
Men of Honor,2000,129,7.2,56,124843,Biography,$48.82M,48820000,32000000
The Score,2001,124,6.8,71,133780,Action,$71.07M,71070000,68000000
Being John Malkovich,1999,113,7.7,90,352552,Comedy,$22.86M,22860000,13000000
Practical Magic,1998,104,6.3,47,92721,Comedy,$46.68M,46680000,75000000
The Princess Diaries,2001,115,6.4,52,162686,Comedy,$108.25M,108250000,37000000
Frequency,2000,118,7.4,67,115392,Crime,$45.01M,45010000,31000000
Rounders,1998,121,7.3,53,159787,Crime,$22.91M,22910000,12000000
She's All That,1999,95,5.9,51,103457,Comedy,$63.37M,63370000,10000000
Space Cowboys,2000,130,6.5,73,85936,Action,$90.46M,90460000,65000000
Rush Hour,1998,98,7,61,293304,Action,$141.15M,141150000,33000000
Atlantis: The Lost Empire,2001,95,6.9,52,133406,Animation,$84.05M,84050000,120000000
Miss Congeniality,2000,109,6.3,43,229316,Action,$106.81M,106810000,45000000
Boys Don't Cry,1999,118,7.5,86,103063,Biography,$11.53M,11530000,2000000
Cruel Intentions,1999,97,6.8,56,204399,Drama,$38.77M,38770000,10500000
Pearl Harbor,2001,183,6.2,44,350869,Action,$198.54M,198540000,140000000
"South Park: Bigger, Longer & Uncut",1999,81,7.7,73,214480,Animation,$52.04M,52040000,21000000
Orgazmo,1997,94,6.1,48,37984,Comedy,$0.58M,580000,1000000
Traffic,2000,147,7.6,86,219277,Crime,$124.12M,124120000,48000000
The Patriot,2000,165,7.2,63,292598,Action,$113.33M,113330000,110000000
The Iron Giant,1999,86,8.1,85,225933,Animation,$23.16M,23160000,70000000
Boiler Room,2000,120,7,63,56325,Crime,$16.94M,16940000,26000000
The Talented Mr. Ripley,1999,139,7.4,76,237194,Crime,$81.30M,81300000,40000000
The Boondock Saints,1999,108,7.7,44,249932,Action,$0.03M,30000,6000000
A Bug's Life,1998,95,7.2,78,313419,Animation,$162.80M,162800000,120000000
Blue Streak,1999,93,6.3,46,88522,Action,$68.52M,68520000,65000000
American Beauty,1999,122,8.3,84,1207478,Drama,$130.10M,130100000,15000000
Sweet November,2001,119,6.7,27,94420,Drama,$25.29M,25290000,40000000
La vita è bella,1997,116,8.6,58,740355,Comedy,$57.60M,57600000,20000000
La leggenda del pianista sull'oceano,1998,169,8,58,68922,Drama,$0.26M,260000,9000000
The Mask of Zorro,1998,136,6.8,62,197123,Action,$94.10M,94100000,95000000
Scary Movie,2000,88,6.3,48,285369,Comedy,$157.02M,157020000,19000000
The Mexican,2001,123,6.1,43,113407,Adventure,$66.81M,66810000,57000000
The Thomas Crown Affair,1999,113,6.8,72,99957,Crime,$69.30M,69300000,48000000
Tarzan,1999,88,7.3,80,246071,Animation,$171.09M,171090000,150000000
Swordfish,2001,99,6.5,32,195865,Action,$69.77M,69770000,102000000
"O Brother, Where Art Thou?",2000,107,7.7,69,329780,Adventure,$45.51M,45510000,26000000
Patch Adams,1998,115,6.8,26,121914,Biography,$135.03M,135030000,50000000
The Perfect Storm,2000,130,6.5,59,177448,Action,$182.62M,182620000,120000000
The 13th Warrior,1999,102,6.6,42,131701,Action,$32.70M,32700000,160000000
Love & Basketball,2000,124,7.2,72,24163,Drama,$27.44M,27440000,20000000
Billy Elliot,2000,110,7.7,74,142228,Drama,$22.00M,22000000,5000000
The Beach,2000,119,6.6,43,252961,Adventure,$39.79M,39790000,40000000
City of Angels,1998,114,6.7,54,127450,Drama,$78.69M,78690000,55000000
He Got Game,1998,136,6.9,64,51281,Drama,$21.55M,21550000,25000000
Bicentennial Man,1999,132,6.9,42,124337,Drama,$58.22M,58220000,100000000
Following,1998,69,7.5,60,101270,Crime,$0.05M,50000,6000
Super Troopers,2001,100,7,48,112616,Comedy,$18.49M,18490000,3000000
Wonder Boys,2000,107,7.2,74,66481,Comedy,$19.39M,19390000,35000000
Along Came a Spider,2001,104,6.4,42,95592,Drama,$74.08M,74080000,60000000
Lolita,1997,137,6.8,46,66195,Drama,$1.40M,1400000,62000000
Pi,1998,84,7.3,72,186099,Drama,$3.22M,3220000,60000
Original Sin,2001,116,6,33,59628,Drama,$16.25M,16250000,42000000
A Knight's Tale,2001,132,7,56,200968,Action,$56.57M,56570000,65000000
U-571,2000,116,6.6,62,87190,Action,$77.09M,77090000,62000000
Wild Things,1998,108,6.6,51,130033,Crime,$29.75M,29750000,20000000
Mystery Men,1999,121,6.1,66,70488,Action,$29.76M,29760000,68000000
Babe: Pig in the City,1998,97,5.8,68,35373,Adventure,$18.32M,18320000,90000000
Man on the Moon,1999,118,7.4,58,137177,Biography,$34.58M,34580000,82000000
Deuce Bigalow: Male Gigolo,1999,88,5.7,30,79720,Comedy,$65.54M,65540000,17000000
The Horse Whisperer,1998,169,6.7,65,43421,Drama,$75.38M,75380000,60000000
What Dreams May Come,1998,113,7,44,114115,Drama,$55.49M,55490000,85000000
The Avengers,1998,89,3.8,12,45358,Action,$23.32M,23320000,60000000
Joan of Arc,1999,158,6.4,54,69540,Adventure,$14.28M,14280000,60000000
Sexy Beast,2000,89,7.3,79,68579,Crime,$6.95M,6950000,5000000
Shanghai Noon,2000,110,6.6,77,134894,Action,$56.94M,56940000,55000000
Lethal Weapon 4,1998,127,6.6,39,171845,Action,$130.44M,130440000,140000000
The Wedding Singer,1998,97,6.9,60,161792,Comedy,$80.25M,80250000,18000000
The Astronaut's Wife,1999,109,5.4,38,57333,Drama,$10.67M,10670000,75000000
The Gift,2000,112,6.7,62,74570,Drama,$12.01M,12010000,10000000
Scream 3,2000,116,5.6,56,163437,Horror,$89.14M,89140000,40000000
54,1998,93,5.9,33,34489,Drama,$16.57M,16570000,13000000
Spy Kids,2001,88,5.6,71,126869,Action,$112.72M,112720000,35000000
Rat Race,2001,112,6.5,52,122748,Action,$56.62M,56620000,48000000
Battlefield Earth,2000,117,2.5,9,82944,Action,$21.47M,21470000,44000000
Coyote Ugly,2000,100,5.7,27,120619,Comedy,$60.79M,60790000,45000000
Drop Dead Gorgeous,1999,97,6.7,28,40581,Comedy,$10.56M,10560000,10000000
The Wedding Planner,2001,103,5.3,33,86294,Comedy,$60.40M,60400000,35000000
The Cell,2000,107,6.4,40,108798,Crime,$61.33M,61330000,33000000
8MM,1999,123,6.6,21,142298,Crime,$36.66M,36660000,40000000
What Lies Beneath,2000,130,6.6,51,135334,Drama,$155.46M,155460000,100000000
Six Days Seven Nights,1998,102,5.9,51,83137,Action,$74.33M,74330000,70000000
I Still Know What You Did Last Summer,1998,100,4.7,21,78500,Horror,$40.00M,40000000,65000000
Osmosis Jones,2001,95,6.3,57,38623,Animation,$13.60M,13600000,75000000
Dinosaur,2000,82,6.4,56,66936,Animation,$137.75M,137750000,127500000
Big Daddy,1999,93,6.4,42,233267,Comedy,$163.48M,163480000,34200000
How the Grinch Stole Christmas,2000,104,6.3,46,290728,Comedy,$260.04M,260040000,123000000
Blast from the Past,1999,112,6.7,50,71303,Comedy,$26.49M,26490000,35000000
Little Nicky,2000,90,5.3,38,112208,Comedy,$39.46M,39460000,85000000
The Legend of Bagger Vance,2000,126,6.7,47,59315,Drama,$30.70M,30700000,80000000
Great Expectations,1998,111,6.8,55,56782,Drama,$26.33M,26330000,25000000
Message in a Bottle,1999,126,6.2,40,40252,Drama,$52.88M,52880000,80000000
The Passion of the Christ,2004,127,7.2,47,248470,Drama,$370.78M,370780000,30000000
Holes,2003,117,7,71,99672,Adventure,$67.41M,67410000,20000000
Shattered Glass,2003,94,7.1,73,37564,Drama,$2.22M,2220000,6000000
Radio,2003,109,6.9,38,43870,Biography,$52.33M,52330000,32000000
Old School,2003,88,7,54,242817,Comedy,$75.59M,75590000,24000000
The Girl Next Door,2004,109,6.7,47,238826,Comedy,$14.59M,14590000,25000000
